factor_name,coverage,nunique,quality_ok,ic,icir,win_rate,p_adjusted,significant,stable,redundant,selected,ic_2020,ic_2021,ic_2022,ic_2023,ic_2024,ic_2025,pos_2020,pos_2021,pos_2022,pos_2023,pos_2024,pos_2025,n_years,n_ic_years,ic_consistency
Alpha100,1.0,4235531,True,-0.04869466845212717,-0.41415017064970805,0.32852233676975945,0.0,True,True,False,True,-0.04904412853947165,-0.04406487204744928,-0.05342775089067614,-0.05908545143702657,-0.03213351573162193,-0.06173242117711203,0.2962962962962963,0.3333333333333333,0.33884297520661155,0.3181818181818182,0.4090909090909091,0.2757201646090535,6,6,1.0
MIN20,1.0,1102001,True,0.04093548992680777,0.3769522459126307,0.6467353951890035,0.0,False,True,True,False,0.03934005960739734,0.038837000341793465,0.04936215811589467,0.057683425043881006,0.04807843135530259,0.052772818984779896,0.588477366255144,0.5637860082304527,0.6652892561983471,0.71900826446281,0.6900826446280992,0.654320987654321,6,6,1.0
MA60,1.0,2700426,True,0.04011477973706069,0.31687775777173866,0.6164948453608248,0.0,False,True,True,False,0.021514625884473875,0.04784660938185479,0.06274032806211088,0.03840667479842869,0.05916158803255514,0.07806477728398452,0.5473251028806584,0.6460905349794238,0.6363636363636364,0.6157024793388429,0.5495867768595041,0.7037037037037037,6,6,1.0
QTLD20,1.0,1678862,True,0.03859755447318586,0.35580266303731134,0.6419243986254296,0.0,False,True,True,False,0.03949197118569628,0.029670134127281967,0.04739288593189322,0.05094014616916615,0.04476657287378172,0.06784298256799395,0.6213991769547325,0.5555555555555556,0.6694214876033058,0.6859504132231405,0.5950413223140496,0.7242798353909465,6,6,1.0
MA30,1.0,2262338,True,0.03512671468882477,0.2937233779291426,0.6048109965635738,0.0,False,True,True,False,0.02875557311998215,0.026566713143808925,0.048123174880205455,0.03776612262949561,0.049402180913884944,0.07389646511077158,0.5761316872427984,0.5390946502057613,0.5991735537190083,0.6239669421487604,0.5578512396694215,0.7325102880658436,6,6,1.0
SUMN30,1.0,1737542,True,0.03405112376809199,0.2860478614667867,0.6034364261168385,0.0,False,True,True,False,0.02999334680348043,0.03017427525865482,0.05311093778773088,0.02595439902789929,0.04718435207748214,0.05851505223045418,0.6049382716049383,0.5761316872427984,0.6074380165289256,0.5909090909090909,0.5702479338842975,0.6707818930041153,6,6,1.0
STR_20d,1.0,1484679,True,0.03153402963849755,0.2608370028240489,0.6020618556701031,0.0,False,True,True,False,0.02290703210299534,0.01775063085255934,0.04138371826344009,0.030853946159130938,0.05356987897459104,0.06397398385091053,0.5637860082304527,0.5349794238683128,0.5950413223140496,0.6198347107438017,0.5991735537190083,0.6995884773662552,6,5,0.8333333333333334
SUMN60,1.0,2121048,True,0.03126233576206884,0.25487313528678396,0.5883161512027492,0.0,False,True,True,False,0.0013554395911804533,0.0492678036033226,0.044009786861381565,0.02374174208256316,0.06043952116000813,0.055359012388741365,0.4567901234567901,0.6337448559670782,0.6074380165289256,0.5661157024793388,0.5950413223140496,0.6707818930041153,6,5,0.8333333333333334
RANK60,1.0,1680,True,-0.03198556823461298,-0.26551297450940964,0.3951890034364261,0.0,False,True,True,False,-0.01579139757982173,-0.034674869704187566,-0.04475806113382291,-0.03083963076510648,-0.04742755955606381,-0.05191575969067533,0.4279835390946502,0.4279835390946502,0.384297520661157,0.40082644628099173,0.40082644628099173,0.3292181069958848,6,5,0.8333333333333334
Alpha71,1.0,4122531,True,-0.03258593260573593,-0.2806493289665166,0.39037800687285223,0.0,False,True,True,False,-0.03017186609158637,-0.023540227256709956,-0.04214032769797256,-0.03930239839294677,-0.041719397370596746,-0.0691542928802263,0.43209876543209874,0.45267489711934156,0.39669421487603307,0.35537190082644626,0.43388429752066116,0.2716049382716049,6,6,1.0
long_momentum,1.0,3187926,True,-0.032926444027830994,-0.2602826185326661,0.4041237113402062,0.0,False,True,True,False,-0.0034935969135760684,-0.04988280570631699,-0.04812940797004169,-0.029774833515947775,-0.06382774200384758,-0.058340193002254806,0.5390946502057613,0.35802469135802467,0.3925619834710744,0.39669421487603307,0.4214876033057851,0.3168724279835391,6,5,0.8333333333333334
